"INTERNAL,N,6,0","INACTIVE,L","PART_NO,C,20","DESC,C,70","DESC1,C,70","PRINTD1,L","TYPE,C,1","GROUP,N,6,0","GROUP1,N,4,0","GROUP2,N,4,0","GROUP3,N,4,0","SALE_ACC,N,5,0","BUY_ACC,N,5,0","UNIT,C,10","BIN,C,10","PRICE1,N,13,3","QTY1,N,9,2","PRICE2,N,13,3","QTY2,N,9,2","PRICE3,N,13,3","QTY3,N,9,2","PRICE4,N,13,3","QTY4,N,9,2","PRICE5,N,13,3","QTY5,N,9,2","SPRICE,N,13,3","SDATE1,D","SDATE2,D","COST,N,14,4","FACTOR,N,7,3","PUR_QTY,N,14,3","PUR_AMOUNT,N,15,3","QTY,N,12,3","BACKORDER,N,12,4","ONORDER,N,12,4","ONLAYBY,N,10,2","LASTSOLD,D","LASTBUY,D","LASTORDER,D","MINIMUM,N,8,0","MAXIMUM,N,8,0","TAXCODE,C,3","TAXCODE1,C,3","NOTES,C,57","TRACKSER,L","SUPPLIER,N,4,0","EDITQTY,L","BLOCKDISC,L","EDITPRICE,L","SELLUNIT,N,6,0","BUYUNIT,N,6,0","MADEUP,L","BFQTY,N,12,3","BFCOST,N,15,4","SPICTURE,C,80","USRPROMPT,C,80","EXPIRY,L","S_POINTS,N,8,0","USESCALE,L","CON_OUT,N,11,3","CON_IN,N,11,3","RELEASEDON,D","WEBSTORE,L","FROMTIME,C,5","TOTIME,C,5","COSTDATE,D","COSTDATE1,D","TEMPCOST,N,15,3","DAYS,N,5,0","BLOCKFRAC,L","MINSELL,N,13,3","SELLCHANGE,D","SPECIALS,N,3,0"
1392,FALSE,20207,QUEEN HELEN EGG YOLK CLEANSER & TONER   200ML,,FALSE,,10,0,0,0,0,0,,,3500,1,0,0,3200,3,0,0,0,0,0,,,1500,0,0,0,5,0,0,0,7/14/2025,6/14/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,6,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/5/2025,0
1393,FALSE,20213,KOJIE SAN SKIN LIGHTENING CLEANSER  100ML,,FALSE,,10,0,0,0,0,0,,,11220,1,0,0,10995.6,3,0,0,0,0,0,,,5500,0,0,0,-1,0,0,0,5/12/2025,11/18/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,8,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/5/2025,0
1394,FALSE,20214,NANO HALF CAST WHITENING DUAL ACTION CLEANSER & TO,,FALSE,,10,0,0,0,0,0,,,5313,1,0,0,5206.74,3,0,0,0,0,0,,,1500,0,0,0,-5,0,0,0,12/27/2023,6/14/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/5/2025,0
1395,TRUE,20248,NEUTRIHERBS VITAMIN E GENTLE FACIAL CLEANSER   120,,FALSE,,39,0,0,0,0,0,,,6500,1,0,0,7644,3,0,0,0,0,6175,3/3/2025,3/5/2025,3675,0,0,0,0,0,0,0,1/5/2024,6/17/2023,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,2/7/2024,0
1396,FALSE,6971540000000,NEUTRIHERBS SALICYLIC ACID PURIFYING GEL CLEANSER,,FALSE,,39,0,0,0,0,0,,,12500,1,0,0,12500,3,0,0,0,0,11875,3/3/2025,3/5/2025,7875,0,0,0,0,0,0,0,8/30/2024,3/8/2024,,0,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,4,,FALSE,7:00,20:00,,,0,0,FALSE,0,1/21/2025,0
1397,FALSE,20252,DOVE COOL MOISTURE BODY WASH 500ML,,FALSE,,10,0,0,0,0,0,,,10626,1,0,0,10413.48,3,0,0,0,0,0,,,4065,0,0,0,0,0,0,0,12/3/2024,6/13/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/5/2025,0
1398,FALSE,20294,THEINKEYLIST SALICYLIC ACID CLEANSER 150ML,,FALSE,,10,0,0,0,0,0,,,22440,1,0,0,21991.2,3,0,0,0,0,0,,,10874,0,0,0,6,0,0,0,11/23/2024,9/23/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/5/2025,0
1399,FALSE,30019870,LIQUID NEUTROGENA FACIAL CLEANSING FORMULA 236ML,,FALSE,,10,0,0,0,0,0,,,15000,1,0,0,14800,3,0,0,0,0,0,,,6250,0,0,0,4,0,0,0,,6/10/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/5/2025,0
1400,FALSE,11111033764,DOVE BODY LOVE MOISTURE BOOST BODY CLEANSER 517ML,,FALSE,,10,0,0,0,0,0,,,14421,1,0,0,14132.58,3,0,0,0,0,0,,,6500,0,0,0,1,0,0,0,4/7/2025,6/10/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,0,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/6/2025,0
1401,FALSE,41507070035,THAYERS FACIAL TONER WITCH HAZEL 355ML,,FALSE,,10,0,0,0,0,0,,,20460,1,0,0,20050.8,3,0,0,0,0,0,,,7000,0,0,0,0,0,0,0,4/2/2025,6/14/2023,,2,0,,,,FALSE,0,FALSE,FALSE,FALSE,0,0,FALSE,0,0,,,FALSE,0,FALSE,0,3,,FALSE,7:00,20:00,,,0,0,FALSE,0,5/6/2025,0
